FIT Profiler Report
Profile stats for: [LightningModule]LitUnrolled.configure_callbacks
         418 function calls (403 primitive calls) in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x6411db0de620}
        1    0.000    0.000    0.000    0.000 enum.py:753(value)
        3    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 local.py:68(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.000    0.000 spec.py:214(_get_kwargs_from_urls)
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 core.py:395(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 distributed_c10d.py:567(pg_default_device)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 spec.py:67(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 lightning.py:84(global_rank)
        1    0.000    0.000    0.000    0.000 strategy.py:360(lightning_module)



Profile stats for: [LightningModule]LitUnrolled.setup
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:117(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:55(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:79(stop)
        1    0.000    0.000    0.000    0.000 hooks.py:420(setup)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



Profile stats for: [LightningModule]LitUnrolled.train_dataloader
         1288 function calls (1182 primitive calls) in 0.003 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.003    0.001 train_DiT.py:235(train_dataloader)
        2    0.000    0.000    0.001    0.001 dataset.py:24(__init__)
        2    0.000    0.000    0.001    0.000 preprocess.py:39(__init__)
        4    0.000    0.000    0.001    0.000 files.py:375(__init__)
        2    0.000    0.000    0.000    0.000 files.py:211(make_fid)
        2    0.000    0.000    0.000    0.000 preprocess.py:19(__init__)
        4    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
        2    0.000    0.000    0.000    0.000 dataloader.py:227(__init__)
      2/1    0.000    0.000    0.000    0.000 data.py:287(wrapper)
        2    0.000    0.000    0.000    0.000 group.py:348(__getitem__)
        4    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f5b032f2d30}
        2    0.000    0.000    0.000    0.000 subsample.py:70(__init__)
        2    0.000    0.000    0.000    0.000 subsample.py:18(__init__)
        2    0.000    0.000    0.000    0.000 glob.py:10(glob)
        4    0.000    0.000    0.000    0.000 glob.py:41(_iglob)
        2    0.000    0.000    0.000    0.000 glob.py:81(_glob1)
        2    0.000    0.000    0.000    0.000 files.py:115(make_fapl)
        2    0.000    0.000    0.000    0.000 fnmatch.py:48(filter)
        2    0.000    0.000    0.000    0.000 inspect.py:3103(signature)
       10    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
        2    0.000    0.000    0.000    0.000 inspect.py:2851(from_callable)
        2    0.000    0.000    0.000    0.000 inspect.py:2218(_signature_from_callable)
      118    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
        1    0.000    0.000    0.000    0.000 re.py:250(compile)
        1    0.000    0.000    0.000    0.000 re.py:289(_compile)
        2    0.000    0.000    0.000    0.000 inspect.py:2124(_signature_from_function)
    23/22    0.000    0.000    0.000    0.000 data.py:334(wrapper)
     48/4    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
     48/4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 sre_compile.py:759(compile)
        2    0.000    0.000    0.000    0.000 dataset.py:636(__init__)
    40/38    0.000    0.000    0.000    0.000 dataloader.py:418(__setattr__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:937(parse)
        2    0.000    0.000    0.000    0.000 dataloader.py:394(multiprocessing_context)
      2/1    0.000    0.000    0.000    0.000 sre_parse.py:435(_parse_sub)
      2/1    0.000    0.000    0.000    0.000 sre_parse.py:493(_parse)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        4    0.000    0.000    0.000    0.000 glob.py:116(_iterdir)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
       21    0.000    0.000    0.000    0.000 inspect.py:2489(__init__)
        2    0.000    0.000    0.000    0.000 dataset.py:462(shape)
        2    0.000    0.000    0.000    0.000 base.py:282(file)
        1    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        4    0.000    0.000    0.000    0.000 random.py:721(getrandbits)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       21    0.000    0.000    0.000    0.000 data.py:295(<genexpr>)
        1    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        2    0.000    0.000    0.000    0.000 filters.py:294(get_filters)
       23    0.000    0.000    0.000    0.000 enum.py:313(__call__)
        4    0.000    0.000    0.000    0.000 posixpath.py:71(join)
        2    0.000    0.000    0.000    0.000 inspect.py:2772(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
        8    0.000    0.000    0.000    0.000 typing.py:868(__new__)
       54    0.000    0.000    0.000    0.000 config.py:137(__getattr__)
        2    0.000    0.000    0.000    0.000 dataloader.py:487(check_worker_number_rationality)
        4    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        4    0.000    0.000    0.000    0.000 group.py:34(__init__)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        2    0.000    0.000    0.000    0.000 sampler.py:133(__init__)
      3/1    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
        6    0.000    0.000    0.000    0.000 glob.py:147(has_magic)
       32    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        2    0.000    0.000    0.000    0.000 sampler.py:262(__init__)
        2    0.000    0.000    0.000    0.000 files.py:312(mode)
        2    0.000    0.000    0.000    0.000 compat.py:11(filename_encode)
        2    0.000    0.000    0.000    0.000 base.py:177(_e)
    38/31    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        2    0.000    0.000    0.000    0.000 posixpath.py:100(split)
        2    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
       23    0.000    0.000    0.000    0.000 inspect.py:2821(<genexpr>)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        2    0.000    0.000    0.000    0.000 {built-in method posix.sched_getaffinity}
      3/1    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
       18    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        2    0.000    0.000    0.000    0.000 inspect.py:493(unwrap)
        4    0.000    0.000    0.000    0.000 sampler.py:146(num_samples)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 glob.py:23(iglob)
        2    0.000    0.000    0.000    0.000 contextlib.py:117(__exit__)
        1    0.000    0.000    0.000    0.000 enum.py:938(__and__)
        9    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        2    0.000    0.000    0.000    0.000 {built-in method torch.set_vital}
       23    0.000    0.000    0.000    0.000 enum.py:631(__new__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        2    0.000    0.000    0.000    0.000 data.py:303(<dictcomp>)
        2    0.000    0.000    0.000    0.000 {method 'set_alignment' of 'h5py.h5p.PropFAID' objects}
       50    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       61    0.000    0.000    0.000    0.000 inspect.py:2539(name)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       12    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      2/1    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       51    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 profiler.py:55(profile)
       38    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        6    0.000    0.000    0.000    0.000 base.py:340(__init__)
        3    0.000    0.000    0.000    0.000 re.py:270(escape)
       16    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        2    0.000    0.000    0.000    0.000 os.py:800(fsencode)
        6    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        2    0.000    0.000    0.000    0.000 advanced.py:79(stop)
       21    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
        6    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       10    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 dataset.py:39(__len__)
        4    0.000    0.000    0.000    0.000 glob.py:154(_ishidden)
        2    0.000    0.000    0.000    0.000 {built-in method h5py.h5.get_config}
        1    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        5    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
